benchmark,expected,actual,time_s,result
StringMiscellaneous01,true,true,.49s,CORRECT
StringMiscellaneous02,false,false,.62s,CORRECT
StringMiscellaneous03,false,false,.70s,CORRECT
StringMiscellaneous04,true,true,.48s,CORRECT
StringStartEnd01,true,true,.47s,CORRECT
StringStartEnd02,false,false,.71s,CORRECT
StringStartEnd03,false,false,.72s,CORRECT
StringValueOf01,true,true,.48s,CORRECT
StringValueOf02,false,false,.63s,CORRECT
StringValueOf03,false,false,.49s,CORRECT
StringValueOf04,false,false,.62s,CORRECT
StringValueOf05,false,false,.66s,CORRECT
StringValueOf06,false,false,.65s,CORRECT
StringValueOf07,false,UNKNOWN,.48s,UNKNOWN
StringValueOf08,false,UNKNOWN,.47s,UNKNOWN
StringValueOf09,false,UNKNOWN,.48s,UNKNOWN
StringValueOf10,false,false,.62s,CORRECT
SubString01,true,true,.47s,CORRECT
SubString02,false,false,.66s,CORRECT
SubString03,false,false,.67s,CORRECT
TokenTest01,true,true,.48s,CORRECT
TokenTest02,false,UNKNOWN,.49s,UNKNOWN
Validate01,true,true,.47s,CORRECT
Validate02,false,UNKNOWN,.49s,UNKNOWN
aastore_aaload1,true,timeout,60,TIMEOUT
array1,true,UNKNOWN,.63s,UNKNOWN
array2,true,true,.52s,CORRECT
arraylength1,true,true,.53s,CORRECT
arrayread1,true,true,.53s,CORRECT
assert1,true,true,.53s,CORRECT
assert2,false,false,.62s,CORRECT
assert3,false,false,.62s,CORRECT
assert4,false,false,.63s,CORRECT
assert5,true,true,.56s,CORRECT
assert6,true,true,.54s,CORRECT
astore_aload1,true,true,.48s,CORRECT
athrow1,false,false,.48s,CORRECT
basic1,true,true,.47s,CORRECT
bitwise1,true,true,.54s,CORRECT
boolean1,true,true,.53s,CORRECT
boolean2,true,true,.55s,CORRECT
bug-test-gen-095,false,false,.60s,CORRECT
bug-test-gen-119-2,true,true,.47s,CORRECT
bug-test-gen-119,true,true,.66s,CORRECT
calc,true,UNKNOWN,.62s,UNKNOWN
cast1,true,true,.53s,CORRECT
catch1,true,true,.47s,CORRECT
char1,true,true,.64s,CORRECT
charArray,true,UNKNOWN,.55s,UNKNOWN
classtest1,true,true,.48s,CORRECT
const1,true,true,.46s,CORRECT
constructor1,true,true,.47s,CORRECT
enum1,true,true,.47s,CORRECT
exceptions1,false,false,.49s,CORRECT
exceptions10,false,false,.48s,CORRECT
exceptions11,false,false,.47s,CORRECT
exceptions12,false,false,.50s,CORRECT
exceptions13,false,false,.49s,CORRECT
exceptions14,true,true,.46s,CORRECT
exceptions15,true,true,.48s,CORRECT
exceptions16,false,false,.50s,CORRECT
exceptions18,true,true,.48s,CORRECT
exceptions2,false,false,.48s,CORRECT
exceptions3,false,false,.48s,CORRECT
exceptions4,true,true,.47s,CORRECT
exceptions5,true,true,.49s,CORRECT
exceptions6,false,false,.48s,CORRECT
exceptions7,false,false,.48s,CORRECT
exceptions8,false,false,.48s,CORRECT
exceptions9,true,true,.48s,CORRECT
fcmpx_dcmpx1,true,true,.48s,CORRECT
iarith1,true,true,.47s,CORRECT
iarith2,true,true,.48s,CORRECT
if_acmp1,true,true,.47s,CORRECT
if_expr1,true,true,.53s,CORRECT
if_icmp1,true,true,.55s,CORRECT
ifxx1,true,true,.47s,CORRECT
instanceof1,true,true,.47s,CORRECT
instanceof2,true,true,.49s,CORRECT
instanceof3,true,true,.49s,CORRECT
instanceof4,true,true,.47s,CORRECT
instanceof5,true,true,.47s,CORRECT
instanceof6,true,true,.48s,CORRECT
instanceof7,true,true,.47s,CORRECT
instanceof8,true,true,.47s,CORRECT
interface1,false,false,.49s,CORRECT
java_append_char,false,false,.61s,CORRECT
lazyloading4,true,true,.47s,CORRECT
list1,true,true,46.43s,CORRECT
long1,true,true,.48s,CORRECT
lookupswitch1,true,true,.56s,CORRECT
multinewarray,true,true,.48s,CORRECT
overloading1,true,true,.48s,CORRECT
package1,true,true,.48s,CORRECT
putfield_getfield1,true,true,.50s,CORRECT
putstatic_getstatic1,true,true,.47s,CORRECT
recursion2,true,true,.47s,CORRECT
return1,false,false,.47s,CORRECT
return2,false,false,.62s,CORRECT
store_load1,true,true,.46s,CORRECT
swap1,true,true,.47s,CORRECT
synchronized,true,true,.47s,CORRECT
tableswitch1,true,true,.58s,CORRECT
uninitialised1,true,true,.47s,CORRECT
virtual1,true,true,.47s,CORRECT
virtual2,false,false,.48s,CORRECT
virtual4,true,true,.47s,CORRECT
virtual_function_unwinding,true,true,.46s,CORRECT
